Team,off_5v5_mu,def_5v5_mu,off_spec_mu,def_spec_mu
Anaheim,-0.18,-0.07,-0.08,-0.3
Boston,-0.01,0.02,0.035,0.09
Buffalo,-0.01,-0.11,-0.06,-0.02
Calgary,-0.04,-0.07,-0.06,0
Carolina,0.07,0.109,0.06,0.11
Chicago,-0.175,-0.07,-0.13,0.02
Colorado,0.14,-0.03,0.15,-0.008
Colombus,-0.09,-0.2,-0.19,-0.03
Dallas,0.1,0.11,0.1,0.1
Detroit,-0.08,-0.05,0.02,-0.011
Edmonton,0.25,0.07,0.13,0.02
Florida,0.04,0.15,0.07,0.04
Los Angeles,-0.01,0.04,0.07,0.025
Minnesota,-0.13,0.14,0.04,-0.1
Montreal,-0.07,-0.1,-0.09,-0.15
Nashville,0.1,0.01,0.015,-0.015
New Jersey,0.085,-0.06,-0.05,0.05
New York Island,-0.02,0.07,-0.07,0.025
New York Rang,-0.01,0.05,0.08,0.12
Ottawa,-0.05,0.01,0.03,-0.06
Philadelphia,-0.05,0.05,-0.11,0.08
Pitsburgh,0.04,-0.08,-0.1,0
San Jose,-0.19,-0.21,-0.15,-0.05
Seattle,-0.13,0.075,-0.02,0.012
St Louis,-0.1,-0.05,-0.03,-0.03
Tampa Bay Lightning,-0.02,-0.02,0.11,0.11
Toronto,0.15,0.08,0.1,0.06
Utah,0.03,-0.03,0.02,-0.11
Vancouver,0.08,0.15,0.08,0.05
Vegas,0.034,0.04,-0.05,0.05
Washington,-0.04,-0.02,-0.05,0.05
Winnipeg,0.016,0.06,-0.06,0.025
