date,game-ID,home_team_abv,away_team_abv,gametime,close_away_ml,close_home_ml,close_total_line,close_total_over,close_total_under,home_goalie,away_goalie
2024-10-04,2024020001,BUF,NJD,7:00:00,-144.0,130.0,6.5,104.0,-117.0,Ukko-Pekka Luukkonen,Jacob Markstrom
2024-10-05,2024020002,NJD,BUF,7:00:00,119.0,-132.0,6.5,-105.0,-107.0,Jake Allen,Devon Levi
2024-10-08,2024020003,SEA,STL,7:00:00,126.0,-153.0,5.5,-116.0,-105.0,Philipp Grubauer,Jordan Binnington
2024-10-08,2024020004,FLA,BOS,7:00:00,145.0,-161.0,5.5,-110.0,-102.0,Sergei Bobrovsky,Joonas Korpisalo
2024-10-08,2024020005,UTA,CHI,7:00:00,161.0,-180.0,6.5,105.0,-118.0,Connor Ingram,Petr Mrazek
2024-10-09,2024020006,MTL,TOR,7:00:00,-195.0,174.0,6.5,102.0,-114.0,Sam Montembeault,Anthony Stolarz
2024-10-09,2024020007,PIT,NYR,7:00:00,-142.0,128.0,6.0,-109.0,-103.0,Tristan Jarry,Igor Shesterkin
2024-10-09,2024020008,EDM,WPG,7:00:00,161.0,-180.0,6.0,-112.0,100.0,Stuart Skinner,Connor Hellebuyck
2024-10-09,2024020009,VAN,CGY,7:00:00,168.0,-188.0,6.5,104.0,-116.0,Arturs Silovs,Dan Vladar
2024-10-09,2024020010,VGK,COL,7:00:00,-105.0,-116.0,6.5,-105.0,-115.0,Adin Hill,Alexandar Georgiev
2024-10-10,2024020011,BOS,MTL,7:00:00,253.0,-292.0,6.0,-105.0,-107.0,Jeremy Swayman,Cayden Primeau
2024-10-10,2024020012,BUF,LAK,7:00:00,102.0,-112.0,6.0,-105.0,-107.0,Ukko-Pekka Luukkonen,Darcy Kuemper
2024-10-10,2024020013,OTT,FLA,7:00:00,-130.0,118.0,6.0,-110.0,-102.0,Linus Ullmark,Sergei Bobrovsky
2024-10-10,2024020015,NJD,TOR,7:00:00,126.0,-139.0,6.5,-121.0,108.0,Jacob Markstrom,Dennis Hildeby
2024-10-10,2024020016,NYI,UTA,7:00:00,124.0,-138.0,6.0,106.0,-119.0,Semyon Varlamov,Connor Ingram
2024-10-10,2024020014,DET,PIT,7:00:00,129.0,-143.0,6.5,-124.0,111.0,Cam Talbot,Joel Blomqvist
2024-10-10,2024020017,NSH,DAL,7:00:00,-127.0,115.0,6.5,100.0,-112.0,Scott Wedgewood,Jake Oettinger
2024-10-10,2024020018,MIN,CBJ,7:00:00,232.0,-266.0,6.5,105.0,-118.0,Filip Gustavsson,Elvis Merzlikins
2024-10-10,2024020019,SJS,STL,7:00:00,-164.0,147.0,6.0,-102.0,-110.0,Mackenzie Blackwood,Joel Hofer
2024-10-11,2024020020,CAR,TBL,7:00:00,133.0,-147.0,6.0,-109.0,-103.0,Frederik Andersen,Andrei Vasilevskiy
2024-10-11,2024020021,WPG,CHI,7:00:00,226.0,-258.0,6.0,-111.0,-101.0,Connor Hellebuyck,Arvid Soderblom
2024-10-11,2024020022,VAN,PHI,7:00:00,170.0,-191.0,6.0,-107.0,-105.0,Kevin Lankinen,Samuel Ersson
2024-10-11,2024020023,VGK,STL,7:00:00,185.0,-208.0,6.0,-104.0,-108.0,Adin Hill,Jordan Binnington
2024-10-12,2024020024,BOS,LAK,7:00:00,143.0,-158.0,6.0,104.0,-117.0,Jeremy Swayman,Darcy Kuemper
2024-10-12,2024020025,BUF,FLA,7:00:00,-106.0,-104.0,6.0,101.0,-114.0,Devon Levi,Spencer Knight
2024-10-12,2024020026,TOR,PIT,7:00:00,158.0,-177.0,6.5,-117.0,104.0,Anthony Stolarz,Joel Blomqvist
2024-10-12,2024020027,MTL,OTT,7:00:00,-154.0,138.0,6.0,-116.0,103.0,Sam Montembeault,Linus Ullmark
2024-10-12,2024020028,DET,NSH,7:00:00,-142.0,129.0,6.5,-110.0,-102.0,Cam Talbot,Juuse Saros
2024-10-12,2024020030,NYR,UTA,7:00:00,179.0,-202.0,6.0,-105.0,-107.0,Igor Shesterkin,Connor Ingram
2024-10-12,2024020031,WSH,NJD,7:00:00,-137.0,124.0,6.0,100.0,-112.0,Charlie Lindgren,Jacob Markstrom
2024-10-12,2024020032,DAL,NYI,7:00:00,162.0,-180.0,5.5,-120.0,107.0,Jake Oettinger,Semyon Varlamov
2024-10-12,2024020033,MIN,SEA,7:00:00,117.0,-129.0,6.0,105.0,-118.0,Marc-Andre Fleury,Joey Daccord
2024-10-12,2024020034,COL,CBJ,7:00:00,275.0,-320.0,6.5,-115.0,103.0,Justus Annunen,Daniil Tarasov
2024-10-12,2024020035,CGY,PHI,7:00:00,116.0,-128.0,6.5,100.0,-113.0,Dustin Wolf,Ivan Fedotov
2024-10-12,2024020036,EDM,CHI,7:00:00,292.0,-342.0,6.5,-109.0,-103.0,Calvin Pickard,Petr Mrazek
2024-10-12,2024020037,SJS,ANA,7:00:00,-134.0,121.0,6.5,100.0,-112.0,Vitek Vanecek,Lukas Dostal
2024-10-13,2024020038,WPG,MIN,7:00:00,140.0,-155.0,5.5,-112.0,-101.0,Connor Hellebuyck,Filip Gustavsson
2024-10-13,2024020039,DAL,SEA,7:00:00,153.0,-170.0,6.0,-107.0,-105.0,Casey DeSmith,Philipp Grubauer
2024-10-13,2024020040,EDM,CGY,7:00:00,211.0,-240.0,7.0,119.0,-134.0,Stuart Skinner,Dan Vladar
2024-10-13,2024020041,VGK,ANA,7:00:00,247.0,-284.0,6.5,-103.0,-109.0,Ilya Samsonov,James Reimer
2024-10-14,2024020042,BOS,FLA,7:00:00,111.0,-122.0,5.5,100.0,-112.0,Jeremy Swayman,Sergei Bobrovsky
2024-10-14,2024020043,OTT,LAK,7:00:00,-106.0,-104.0,6.0,-111.0,-101.0,Mads Sogaard,Darcy Kuemper
2024-10-14,2024020044,NJD,UTA,7:00:00,127.0,-141.0,6.5,-113.0,101.0,Jake Allen,Karel Vejmelka
2024-10-14,2024020045,NYR,DET,7:00:00,199.0,-225.0,6.5,104.0,-117.0,Igor Shesterkin,Alex Lyon
2024-10-14,2024020046,MTL,PIT,7:00:00,-140.0,126.0,6.0,-117.0,104.0,Sam Montembeault,Tristan Jarry
2024-10-14,2024020047,COL,NYI,7:00:00,132.0,-146.0,6.5,105.0,-118.0,Alexandar Georgiev,Ilya Sorokin
