,gid_nhl,Season Type,Neutral,Date,Away Team,Away Score,Home Team,Home Score,map,gid_ubiq,open_away_ml,close_away_ml,open_home_ml,close_home_ml,open_total_line,open_total_over,open_total_under,close_total_line,close_total_over,close_total_under,open_hc_line,open_hc_away,open_hc_home,close_hc_line,close_hc_away,close_hc_home
0,2024020001,2,True,2024-10-04,NJD,4,BUF,1,2024-10-04-NJD-BUF,122554,-142.0,-144.0,126.0,130.0,6.5,-104.0,-110.0,6.5,104.0,-117.0,-1.5,173.0,-198.0,-1.5,168.0,-189.0
1,2024020002,2,True,2024-10-05,BUF,1,NJD,3,2024-10-05-BUF-NJD,122555,135.0,119.0,-153.0,-132.0,6.5,-102.0,-113.0,6.5,-105.0,-107.0,1.5,-184.0,161.0,1.5,-205.0,182.0
2,2024020003,2,False,2024-10-08,STL,3,SEA,2,2024-10-08-STL-SEA,122556,115.0,126.0,-130.0,-153.0,5.5,-121.0,106.0,5.5,-116.0,-105.0,1.5,-216.0,187.0,1.5,-204.0,166.0
3,2024020004,2,False,2024-10-08,BOS,4,FLA,6,2024-10-08-BOS-FLA,122557,134.0,145.0,-151.0,-161.0,5.5,-118.0,103.0,5.5,-110.0,-102.0,1.5,-195.0,170.0,1.5,-180.0,161.0
4,2024020005,2,False,2024-10-08,CHI,2,UTA,5,2024-10-08-CHI-UTA,122558,141.0,161.0,-160.0,-180.0,6.5,103.0,-118.0,6.5,105.0,-118.0,1.5,-176.0,154.0,1.5,-159.0,143.0
5,2024020006,2,False,2024-10-09,TOR,0,MTL,1,2024-10-09-TOR-MTL,122559,-180.0,-195.0,158.0,174.0,6.5,-117.0,102.0,6.5,102.0,-114.0,-1.5,137.0,-155.0,-1.5,126.0,-140.0
6,2024020007,2,False,2024-10-09,NYR,6,PIT,0,2024-10-09-NYR-PIT,122560,-127.0,-142.0,113.0,128.0,6.0,-117.0,102.0,6.0,-109.0,-103.0,-1.5,195.0,-226.0,-1.5,179.0,-201.0
7,2024020008,2,False,2024-10-09,WPG,6,EDM,0,2024-10-09-WPG-EDM,122561,141.0,161.0,-160.0,-180.0,6.5,101.0,-116.0,6.0,-112.0,100.0,1.5,-178.0,156.0,1.5,-154.0,139.0
8,2024020009,2,False,2024-10-09,CGY,6,VAN,5,2024-10-09-CGY-VAN,122562,168.0,168.0,-193.0,-188.0,6.0,-113.0,-102.0,6.5,104.0,-116.0,1.5,-150.0,133.0,1.5,-147.0,133.0
9,2024020010,2,False,2024-10-09,COL,4,VGK,8,2024-10-09-COL-VGK,122563,-107.0,-105.0,-105.0,-116.0,6.5,-101.0,-113.0,6.5,-105.0,-115.0,-1.5,227.0,-266.0,1.5,-263.0,209.0
10,2024020011,2,False,2024-10-10,MTL,4,BOS,6,2024-10-10-MTL-BOS,122566,210.0,253.0,-245.0,-292.0,6.0,-108.0,-106.0,6.0,-105.0,-107.0,1.5,-121.0,108.0,1.5,102.0,-112.0
