date,off_5v5_mu,def_5v5_mu,off_spec_mu,def_spec_mu
2024-10-04,"[-0.18, -0.01, -0.01, -0.04, 0.07, -0.175, 0.14, -0.09, 0.1, -0.08, 0.25, 0.04, -0.01, -0.13, -0.07, 0.1, 0.085, -0.02, -0.01, -0.05, -0.05, 0.04, -0.19, -0.13, -0.1, -0.02, 0.15, 0.03, 0.08, 0.034, -0.04, 0.016]","[-0.07, 0.02, -0.11, -0.07, 0.109, -0.07, -0.03, -0.2, 0.11, -0.05, 0.07, 0.15, 0.04, 0.14, -0.1, 0.01, -0.06, 0.07, 0.05, 0.01, 0.05, -0.08, -0.21, 0.075, -0.05, -0.02, 0.08, -0.03, 0.15, 0.04, -0.02, 0.06]","[-0.08, 0.035, -0.06, -0.06, 0.06, -0.13, 0.15, -0.19, 0.1, 0.02, 0.13, 0.07, 0.07, 0.04, -0.09, 0.015, -0.05, -0.07, 0.08, 0.03, -0.11, -0.1, -0.15, -0.02, -0.03, 0.11, 0.1, 0.02, 0.08, -0.05, -0.05, -0.06]","[-0.3, 0.09, -0.02, 0.0, 0.11, 0.02, -0.008, -0.03, 0.1, -0.011, 0.02, 0.04, 0.025, -0.1, -0.15, -0.015, 0.05, 0.025, 0.12, -0.06, 0.08, 0.0, -0.05, 0.012, -0.03, 0.11, 0.06, -0.11, 0.05, 0.05, 0.05, 0.025]"
2024-10-05,"[-0.17084785378778417, -0.0015875534299980162, 0.00272048268410286, -0.02975377025725751, 0.07889636851543867, -0.16575788777853512, 0.1493520789273147, -0.08184577116275477, 0.10924156043177473, -0.07157898122692363, 0.2593681512820103, 0.04787127413577108, -0.0014412330387590846, -0.12062636122437659, -0.0613267298885958, 0.10960319788550625, 0.07191099238446459, -0.010977054891602655, -0.0018084461574077587, -0.04110488179908203, -0.039860179098065475, 0.049428952913110814, -0.18130947286460872, -0.12087209659344292, -0.09111183388879025, -0.010092767032481019, 0.16037500661139015, 0.03876890659729847, 0.08789366114169007, 0.04272316703374511, -0.031037954210516357, 0.024787027787364007]","[-0.07233311810927494, 0.017269146372741604, -0.09021990967979472, -0.07258360393067499, 0.10679398329215137, -0.072269778928708, -0.03294927785785577, -0.2019642725189209, 0.10857512108507292, -0.05135967791032078, 0.06845533916201844, 0.14740242376527815, 0.0362628433561393, 0.13698003665413597, -0.10376215823188581, 0.007401194727097356, -0.06826699035293579, 0.06891560155014881, 0.04676547634701861, 0.0066069244384685194, 0.04687818344053128, -0.08178389432109401, -0.21203452869663597, 0.0716725087471784, -0.051997441580013855, -0.020496720413148373, 0.07619254353256105, -0.033594225714335756, 0.14718167155655823, 0.03812664996256612, -0.022410391969202543, 0.05654634222513604]","[-0.07415259133303635, 0.04184985568148465, -0.06291672094662079, -0.05407357414069954, 0.06694051224048383, -0.12157074272631047, 0.1553191547922895, -0.18462270630915611, 0.10630124958332199, 0.026739729096303223, 0.13712239533851098, 0.07639185553216532, 0.07669837783981694, 0.047640761214467246, -0.0827078969372111, 0.021398623108589365, -0.052120319944420374, -0.06398660001943997, 0.08546584638609879, 0.034424443681611454, -0.10304290555695839, -0.09359536461080604, -0.14525006454576647, -0.013399143985017582, -0.022707765780463872, 0.11647930476099085, 0.10575302975157949, 0.027617990609033877, 0.08890306469322468, -0.043802431993963546, -0.04396378941988764, -0.05313357606021393]","[-0.30546887890552743, 0.0834029536475996, -0.017137642841570416, -0.005863272321023913, 0.10315808722437121, 0.015403022346592672, -0.011167520731029754, -0.03443598024030835, 0.09513141267775373, -0.016332728127224933, 0.015750251939397792, 0.033861865808683334, 0.02043649331930012, -0.1047720570844895, -0.15569483765638684, -0.021598642904048997, 0.05346608706564632, 0.01958948717680406, 0.11457816130212348, -0.06552114003616744, 0.07594624613908707, -0.006478387619627128, -0.05643456670467513, 0.008718483633189448, -0.03476959874566845, 0.10408462950120634, 0.052631410134377325, -0.11497228385017365, 0.04423236567340555, 0.04603599114477424, 0.04527869460196436, 0.018941894431645265]"
2024-10-06,"[-0.16854623524908094, -0.00044118114054494457, -0.01998685110514165, -0.029488975798859604, 0.0794626517135847, -0.16589760396316272, 0.15064158166572944, -0.08150158654208464, 0.11016477788512773, -0.07198647917391685, 0.2600430646345084, 0.04807951127759245, -0.001337248416250119, -0.11969471058798994, -0.06115101073456385, 0.1100547902266577, 0.07812593424249224, -0.010004769614939624, -0.0021030452000935108, -0.04152704126082545, -0.040019821293295114, 0.050677289046649705, -0.18167564147634194, -0.12081061949506082, -0.09094127403251759, -0.008968675978684348, 0.16154256290039237, 0.03898721024167951, 0.08882537800156544, 0.043809690209694496, -0.03000494222141924, 0.025673271239098763]","[-0.07180708640903986, 0.01568471738441191, -0.09565359245145975, -0.07375326501428701, 0.1057077228630867, -0.07241943670311618, -0.03204364500087104, -0.20262288236314663, 0.10919950583935602, -0.050729787039378436, 0.06694847356283837, 0.1465131413391246, 0.036509320064242526, 0.13682728165236127, -0.104851191925442, 0.007148319714602204, -0.04521383883077341, 0.06807015700264478, 0.04542115556161919, 0.005378505568645944, 0.04618241866063102, -0.08202936381814904, -0.21387401811025147, 0.07055065876983906, -0.05228430227543921, -0.021744983646866063, 0.07553819635890058, -0.03435295356597639, 0.1471903753862151, 0.037136568005685634, -0.02235558609744312, 0.055729415517434676]","[-0.07356973752671095, 0.04176708492924721, -0.0705953554764529, -0.054138878749334006, 0.06676285022542483, -0.1221077784245076, 0.1551437512989361, -0.18430078154961813, 0.10579363544619526, 0.025140394967859303, 0.13610540043896413, 0.07986846702347225, 0.07711698810390664, 0.048214988736082376, -0.08202218006844332, 0.022048799808862634, -0.04855856166605547, -0.06265992071118687, 0.08466509121516524, 0.03443123091970158, -0.10331949986835298, -0.09306399603172263, -0.1434554394925269, -0.012690349801583272, -0.02331926013539844, 0.11497070548730874, 0.10594559601740328, 0.027852335502266817, 0.08926082171804534, -0.04283011657385442, -0.044822332889310805, -0.05363395287378302]","[-0.30454024800360385, 0.08477206634006906, -0.020490153180699675, -0.005724083051162381, 0.10115470191507489, 0.013216486254432794, -0.011594879814586284, -0.035230469027271775, 0.0943295556598154, -0.017121262172282353, 0.01401921268578323, 0.032044851558589424, 0.022323621422876555, -0.10573324272335856, -0.15540204424796353, -0.022319795620350573, 0.06138474342289578, 0.01885450620912049, 0.11584861686081072, -0.06513286297047981, 0.07646354751812694, -0.005292745753676216, -0.05695819559959105, 0.009848420345982626, -0.03492597770584491, 0.10375964735331027, 0.051298890931330866, -0.11611346280145737, 0.045335485172103056, 0.045663540470428365, 0.04696727620538339, 0.01929425234619451]"
2024-10-07,"[-0.16854623524908094, -0.00044118114054494457, -0.01998685110514165, -0.029488975798859604, 0.0794626517135847, -0.16589760396316272, 0.15064158166572944, -0.08150158654208464, 0.11016477788512773, -0.07198647917391685, 0.2600430646345084, 0.04807951127759245, -0.001337248416250119, -0.11969471058798994, -0.06115101073456385, 0.1100547902266577, 0.07812593424249224, -0.010004769614939624, -0.0021030452000935108, -0.04152704126082545, -0.040019821293295114, 0.050677289046649705, -0.18167564147634194, -0.12081061949506082, -0.09094127403251759, -0.008968675978684348, 0.16154256290039237, 0.03898721024167951, 0.08882537800156544, 0.043809690209694496, -0.03000494222141924, 0.025673271239098763]","[-0.07180708640903986, 0.01568471738441191, -0.09565359245145975, -0.07375326501428701, 0.1057077228630867, -0.07241943670311618, -0.03204364500087104, -0.20262288236314663, 0.10919950583935602, -0.050729787039378436, 0.06694847356283837, 0.1465131413391246, 0.036509320064242526, 0.13682728165236127, -0.104851191925442, 0.007148319714602204, -0.04521383883077341, 0.06807015700264478, 0.04542115556161919, 0.005378505568645944, 0.04618241866063102, -0.08202936381814904, -0.21387401811025147, 0.07055065876983906, -0.05228430227543921, -0.021744983646866063, 0.07553819635890058, -0.03435295356597639, 0.1471903753862151, 0.037136568005685634, -0.02235558609744312, 0.055729415517434676]","[-0.07356973752671095, 0.04176708492924721, -0.0705953554764529, -0.054138878749334006, 0.06676285022542483, -0.1221077784245076, 0.1551437512989361, -0.18430078154961813, 0.10579363544619526, 0.025140394967859303, 0.13610540043896413, 0.07986846702347225, 0.07711698810390664, 0.048214988736082376, -0.08202218006844332, 0.022048799808862634, -0.04855856166605547, -0.06265992071118687, 0.08466509121516524, 0.03443123091970158, -0.10331949986835298, -0.09306399603172263, -0.1434554394925269, -0.012690349801583272, -0.02331926013539844, 0.11497070548730874, 0.10594559601740328, 0.027852335502266817, 0.08926082171804534, -0.04283011657385442, -0.044822332889310805, -0.05363395287378302]","[-0.30454024800360385, 0.08477206634006906, -0.020490153180699675, -0.005724083051162381, 0.10115470191507489, 0.013216486254432794, -0.011594879814586284, -0.035230469027271775, 0.0943295556598154, -0.017121262172282353, 0.01401921268578323, 0.032044851558589424, 0.022323621422876555, -0.10573324272335856, -0.15540204424796353, -0.022319795620350573, 0.06138474342289578, 0.01885450620912049, 0.11584861686081072, -0.06513286297047981, 0.07646354751812694, -0.005292745753676216, -0.05695819559959105, 0.009848420345982626, -0.03492597770584491, 0.10375964735331027, 0.051298890931330866, -0.11611346280145737, 0.045335485172103056, 0.045663540470428365, 0.04696727620538339, 0.01929425234619451]"
2024-10-08,"[-0.16854623524908094, -0.00044118114054494457, -0.01998685110514165, -0.029488975798859604, 0.0794626517135847, -0.16589760396316272, 0.15064158166572944, -0.08150158654208464, 0.11016477788512773, -0.07198647917391685, 0.2600430646345084, 0.04807951127759245, -0.001337248416250119, -0.11969471058798994, -0.06115101073456385, 0.1100547902266577, 0.07812593424249224, -0.010004769614939624, -0.0021030452000935108, -0.04152704126082545, -0.040019821293295114, 0.050677289046649705, -0.18167564147634194, -0.12081061949506082, -0.09094127403251759, -0.008968675978684348, 0.16154256290039237, 0.03898721024167951, 0.08882537800156544, 0.043809690209694496, -0.03000494222141924, 0.025673271239098763]","[-0.07180708640903986, 0.01568471738441191, -0.09565359245145975, -0.07375326501428701, 0.1057077228630867, -0.07241943670311618, -0.03204364500087104, -0.20262288236314663, 0.10919950583935602, -0.050729787039378436, 0.06694847356283837, 0.1465131413391246, 0.036509320064242526, 0.13682728165236127, -0.104851191925442, 0.007148319714602204, -0.04521383883077341, 0.06807015700264478, 0.04542115556161919, 0.005378505568645944, 0.04618241866063102, -0.08202936381814904, -0.21387401811025147, 0.07055065876983906, -0.05228430227543921, -0.021744983646866063, 0.07553819635890058, -0.03435295356597639, 0.1471903753862151, 0.037136568005685634, -0.02235558609744312, 0.055729415517434676]","[-0.07356973752671095, 0.04176708492924721, -0.0705953554764529, -0.054138878749334006, 0.06676285022542483, -0.1221077784245076, 0.1551437512989361, -0.18430078154961813, 0.10579363544619526, 0.025140394967859303, 0.13610540043896413, 0.07986846702347225, 0.07711698810390664, 0.048214988736082376, -0.08202218006844332, 0.022048799808862634, -0.04855856166605547, -0.06265992071118687, 0.08466509121516524, 0.03443123091970158, -0.10331949986835298, -0.09306399603172263, -0.1434554394925269, -0.012690349801583272, -0.02331926013539844, 0.11497070548730874, 0.10594559601740328, 0.027852335502266817, 0.08926082171804534, -0.04283011657385442, -0.044822332889310805, -0.05363395287378302]","[-0.30454024800360385, 0.08477206634006906, -0.020490153180699675, -0.005724083051162381, 0.10115470191507489, 0.013216486254432794, -0.011594879814586284, -0.035230469027271775, 0.0943295556598154, -0.017121262172282353, 0.01401921268578323, 0.032044851558589424, 0.022323621422876555, -0.10573324272335856, -0.15540204424796353, -0.022319795620350573, 0.06138474342289578, 0.01885450620912049, 0.11584861686081072, -0.06513286297047981, 0.07646354751812694, -0.005292745753676216, -0.05695819559959105, 0.009848420345982626, -0.03492597770584491, 0.10375964735331027, 0.051298890931330866, -0.11611346280145737, 0.045335485172103056, 0.045663540470428365, 0.04696727620538339, 0.01929425234619451]"
2024-10-09,"[-0.1725961706060137, 0.01838034773981814, -0.024522516925287265, -0.035328497332888176, 0.07504395250351961, -0.14106162782164958, 0.1465708811690895, -0.08618979767699197, 0.10579242936546059, -0.07579562276824396, 0.25531874916529435, 0.09317209849495223, -0.00635900473599158, -0.12452399242055076, -0.06603735450067277, 0.1050324901967444, 0.07280726008098944, -0.015084565495090305, -0.007506289222492958, -0.04674990962788119, -0.04602707891527367, 0.045941769104204534, -0.18767411449103136, -0.09115430941685974, -0.08994956717765311, -0.014194568732068704, 0.15840118751031898, 0.04353071535091477, 0.08345892002382932, 0.03934425251576932, -0.03330483276658336, 0.02126476741231895]","[-0.06679120447898135, -0.029720411029445802, -0.08999357663211882, -0.0677181960571107, 0.10978658402170254, -0.07592108267538956, -0.028027033259392858, -0.19850847145421777, 0.11310535261674691, -0.046750938191382506, 0.07199385824104014, 0.12627633261481466, 0.04133803958862297, 0.1416664551430696, -0.1010408733657334, 0.011450023631705053, -0.039095550145530046, 0.07345890456031531, 0.04862060511351046, 0.010416567711774096, 0.051335092847385806, -0.07734124381448305, -0.20844108859576627, 0.07012674674820193, -0.08188707337225286, -0.017333841896438034, 0.08120650638375884, -0.060251608524999584, 0.15242874554409563, 0.043195303019120904, -0.018693519137870755, 0.06111059484524845]","[-0.07120458486879623, 0.0577472803994791, -0.0705303228444487, -0.05478193467131628, 0.06563579513511025, -0.13004859806702904, 0.15469622169591876, -0.18430747940053557, 0.10568805119186633, 0.026067887462333884, 0.13709665064928162, 0.08361110544519533, 0.07689012818532455, 0.048463868941148326, -0.08280454626743064, 0.020901022919374766, -0.04910741170915467, -0.06341241525961609, 0.08324552999792086, 0.034318389406929654, -0.10300036486722522, -0.09327617317350667, -0.14282307038228959, -0.02237805386160999, -0.018954513694632122, 0.11501738173343856, 0.10790723223867021, 0.01882956817768319, 0.09169757382005182, -0.04293683937849251, -0.045821575569655396, -0.052425803383988535]","[-0.304513910817, 0.08154895045905032, -0.018765603767596645, -0.008257655927197998, 0.10270935409590791, 0.020205921653377066, -0.011870717968132431, -0.03499843917326106, 0.09286497333026435, -0.01823753084380994, 0.014168909443758062, 0.01641648634192391, 0.021886082447110773, -0.10666264419930285, -0.15538262471281586, -0.020955708816818325, 0.061643268597621204, 0.018239151807364816, 0.11688160648101387, -0.06548728281991524, 0.07653234652970202, -0.005198446159808936, -0.05575274882093673, 0.005268844006740585, -0.026178414181973676, 0.10357087361058698, 0.05252028274873544, -0.10951481436025211, 0.04575424355807991, 0.046224159862390146, 0.04625699239533461, 0.019084095199859787]"
2024-10-10,"[-0.17136579102303917, 0.02234146208013691, -0.022240909445312748, -0.050580774685407504, 0.07719133850721215, -0.13924998046981737, 0.1432661785967883, -0.0842329659207138, 0.1075432714904204, -0.07362522302060287, 0.2511422372398697, 0.09567320862498291, -0.0047496661653086, -0.12243659868931409, -0.08571080327273327, 0.10866335294154188, 0.07570539596093305, -0.012135679395330563, 0.03956147016109129, -0.04508937922536973, -0.04468458978444889, 0.0635899752505394, -0.18565338773262774, -0.08760812071486714, -0.08698021199104457, -0.011981152666065352, 0.12255418662048857, 0.0437883169979503, 0.07781110933018293, 0.021705263496127, -0.031374016465860535, 0.009162483369599222]","[-0.06879881951030145, -0.031385772881255526, -0.0921290592367815, -0.061977086737803756, 0.10669977041773095, -0.07823718856403368, -0.009138596990295417, -0.20133519156537683, 0.11083738640428184, -0.04758417181850439, 0.0821585161819009, 0.12382461998431636, 0.039878293609461116, 0.13916180133355585, -0.06490861662470275, 0.007379308538397043, -0.04064050132914358, 0.07096103427373994, 0.03155124951626502, 0.0085337911221725, 0.05010142714457794, -0.12329605033974075, -0.21121514039543826, 0.06728939060224462, -0.08463615048713195, -0.019132705615723042, 0.10163362547776565, -0.0628342216567095, 0.16651223034966087, 0.04547790449861398, -0.020690874367338616, 0.06593979866559642]","[-0.0717985266129593, 0.05581634145667217, -0.07274147703220697, -0.03905418597700342, 0.06528421598962457, -0.1314763199870267, 0.15604655659839067, -0.18539226150422095, 0.10433347156798355, 0.026131679939852215, 0.12589043232980368, 0.08111398605599686, 0.07623694296794198, 0.04776364418160012, -0.08089863329668456, 0.020848728280946565, -0.05161441981210133, -0.06595244549863122, 0.08661133555130772, 0.033387791892831094, -0.10555414635410033, -0.10283878243426409, -0.14404976697490593, -0.025072265032192016, -0.020166130383168827, 0.11178991800035337, 0.10767718385120302, 0.015857614356267334, 0.10635141323977367, -0.028248262163782654, -0.046106795092322246, -0.05017683810497817]","[-0.3028018205740028, 0.08278298798547122, -0.018094261891148437, -0.02149655675240757, 0.10427470883563025, 0.02238481756496332, -0.025550253004649574, -0.034256038683060895, 0.09370820201327676, -0.016152668727490372, 0.010751751436100878, 0.016037484668205707, 0.023051999992733316, -0.10466376880713106, -0.15519577441530097, -0.018233845046114413, 0.06395429060713526, 0.01930601781229178, 0.12384192552728716, -0.06278154830995543, 0.07736167519487128, -0.0076440336285546135, -0.05526964329500608, 0.0067534913034952414, -0.023438326897688783, 0.10478594468047475, 0.0497424815212573, -0.10837717483197715, 0.03133443898430449, 0.043592024828061314, 0.04934216469071991, 0.03094930721820818]"
2024-10-11,"[-0.164970908059523, 0.0229199813942307, -0.023167981234688988, -0.04390811634970029, 0.08312246139052733, -0.13323344705739204, 0.1494152492910841, -0.08187630401309343, 0.09297895593605845, -0.09198237438988242, 0.2579357801003004, 0.09611082806567213, -0.03754861524310492, -0.1410091927163514, -0.07897010614229485, 0.1049435794638997, 0.058956220712515696, -0.04167709221802725, 0.044861592956851874, -0.06143326739073301, -0.03762207032669251, 0.0859058349784109, -0.1937466595021926, -0.08063842927563954, -0.05758667936002641, -0.0051944067775173165, 0.11572983544036988, 0.05639368646947271, 0.08528331583812969, 0.02862955020957674, -0.0242145780679748, 0.015593355877734492]","[-0.07450589033998564, -0.03819243521134929, -0.05940258529537045, -0.06731613770818955, 0.1004983719494743, -0.08366449840050398, -0.015363092897521398, -0.18063366321577035, 0.1145711213217578, -0.06877671977074204, 0.07440666466055638, 0.1411916962952738, 0.03964561197640409, 0.13514349757866234, -0.06573620412960438, 0.022438726679595032, -0.033114315056974285, 0.05731633941775952, 0.02339020924348013, 0.010052206353895176, 0.04414922475230171, -0.1059556297196704, -0.2408645980895335, 0.06059299244645415, -0.07801325633706367, -0.025709242688312737, 0.12006761468685784, -0.0347035351260264, 0.15852174863426557, 0.03899278227592432, -0.02783336570379679, 0.05880636141775275]","[-0.07285922718411628, 0.05680461946530329, -0.06945729231204203, -0.039616892290193856, 0.06346395479705745, -0.13371224534438175, 0.15448305831350875, -0.19368425347013768, 0.10743231809992755, 0.015422735036472318, 0.12423030857615004, 0.07063927377402013, 0.0776353378722007, 0.05040269274247705, -0.07788964950569534, 0.023032423156517812, -0.04714480880156658, -0.05255432042990601, 0.0843325725372649, 0.03585339663103915, -0.10655411101835632, -0.09824015218679542, -0.12858635020515385, -0.02594739696176539, -0.028834374190070032, 0.10965095559671154, 0.09796947928026319, 0.030221554665828126, 0.10487695692020438, -0.03066976450595036, -0.04793662877849653, -0.05276417028031897]","[-0.29964848193588856, 0.07809391941309807, -0.01948929301343687, -0.020617047502449064, 0.10696379070952328, 0.023022970346426648, -0.025259714071250654, -0.033784538764180305, 0.09021164839823739, -0.01888970093974971, 0.010967491300695287, 0.014071265042561069, 0.020734456600968343, -0.09618066876017134, -0.1551515095857925, -0.020279744732290488, 0.07301714141814011, 0.0030336529794489516, 0.12491923127921248, -0.05186657790767044, 0.07751663142719833, 0.0033072711664129733, -0.046276448527875456, 0.009023596060936815, -0.038462190979423314, 0.1068001425122259, 0.046096338983256706, -0.12225599246991233, 0.03314377646972126, 0.044572708584857186, 0.04971907634306324, 0.03294680015410705]"
2024-10-12,"[-0.162298443566642, 0.024279572418381412, -0.02027791910619535, -0.041765149951393174, 0.09179813849538529, -0.13056905060439694, 0.15307377646217288, -0.08025145215416458, 0.09543766283868729, -0.08979760226387944, 0.2609032135041485, 0.09894898703959555, -0.03540093297531459, -0.13870339641199397, -0.07648833446203265, 0.10801519931026032, 0.06127713719505789, -0.03943740867298795, 0.04727683429600656, -0.058913891901289636, -0.05839624040756728, 0.08884131872378116, -0.19146793222447173, -0.07837762166022512, -0.06011772870396367, -0.01634142186963523, 0.11777245104110694, 0.05991100151994849, 0.06351937482841352, 0.02404985023821888, -0.0214832009965709, 0.004983210021559583]","[-0.07618707548538409, -0.04043400419944488, -0.06134257394782004, -0.07044526706978842, 0.11069203847666563, -0.0750199236822056, -0.017238907019509777, -0.1837877310935005, 0.1117097402601294, -0.07036773923085185, 0.0726675603453833, 0.13947119063884164, 0.0375209488293299, 0.13221677268485443, -0.06909939921366665, 0.020569180399132678, -0.03527406715875672, 0.054604836294887035, 0.020265161134568676, 0.008045905263629832, 0.0666902809462562, -0.10864113988024011, -0.24248014628465359, 0.058672942366966095, -0.07411753392612533, -0.03429731765045088, 0.11734653651642782, -0.037203607786410416, 0.1775961848105932, 0.04297774193207465, -0.030596620814473095, 0.05548603354354147]","[-0.07181902797807146, 0.058364950076992377, -0.06940263888074197, -0.038932302981935535, 0.053826972242252365, -0.13984067169779135, 0.15416393702040954, -0.19206365273639903, 0.10876005830801684, 0.014675723462612152, 0.12591404767354825, 0.07196122817619269, 0.07680651565166967, 0.051607806804092056, -0.0751412834984873, 0.023199808974013688, -0.04670753534140636, -0.05096216294287903, 0.08473913420692118, 0.03607257467637527, -0.10174155794815609, -0.09816447948262161, -0.12869938424445942, -0.025285562101501645, -0.024444110915485935, 0.12463233795689989, 0.09742144140673875, 0.03045834941275701, 0.09701430233638457, -0.0385808837240827, -0.04904192281763142, -0.0587920110942254]","[-0.3008526642297262, 0.0787249691747864, -0.019403035488623564, -0.021458082816746493, 0.09041232301483206, 0.030964279380377276, -0.027114702559515046, -0.03391347084768962, 0.09045697775408218, -0.019922060522801453, 0.009640542873585492, 0.01461452502883345, 0.019009761848393848, -0.09700419930121806, -0.15400274815093243, -0.020493535030148845, 0.07231247264736196, 0.002881665762129544, 0.12559115704666643, -0.052893167381275634, 0.08474535415306088, 0.003326065682917913, -0.04714356219512503, 0.008404323840651066, -0.029874147217393607, 0.11561164098928177, 0.04430112912080989, -0.12221006539420919, 0.029126042633048656, 0.04032934560310086, 0.04863904206681795, 0.03719382251466753]"
2024-10-13,"[-0.15896764244548578, 0.020763225068530386, -0.02020373508666999, -0.03501189277176908, 0.09132051321638888, -0.16931879031732627, 0.1825546466175855, -0.09271795781078383, 0.09961380231107579, -0.09212671049676549, 0.2932195295400361, 0.09993330597730456, -0.04861063337497675, -0.1531969680913261, -0.08037929778487606, 0.12342549615222899, 0.06551848053010528, -0.04576053403195298, 0.06246245159308182, -0.05786810296160517, -0.06606183972559247, 0.07462646530503178, -0.1867895480667033, -0.09988059419096142, -0.059501605894253774, -0.016218803488365678, 0.1343351083468789, 0.06381590856733647, 0.06379729297158995, 0.022253829050829847, -0.019082198024602662, 0.004056799316012591]","[-0.07972443684194419, -0.02714889093844627, -0.06244158563490374, -0.06415589440695706, 0.11106406749566258, -0.10633274049958229, -0.00437811596000494, -0.21293616824550687, 0.1184164643094005, -0.08562286969720859, 0.11138613698515805, 0.13768692152544762, 0.0419080089767522, 0.15344307190569662, -0.06920617345743642, 0.025393733566949614, -0.03879103468859907, 0.048203568811055725, 0.0189307121836505, 0.011209575026026732, 0.06021003947598493, -0.12615363210902808, -0.24501304085611963, 0.07188614853864753, -0.07377031352114148, -0.03458319607166842, 0.13087698272704137, -0.050882684789570705, 0.1777528223029694, 0.04216592654577132, -0.03594150233542424, 0.05654809967732726]","[-0.07903922555815361, 0.05165210990450914, -0.07585102159291508, -0.04617673280073756, 0.05678537009157831, -0.11011198410267722, 0.16980624585689924, -0.19944232308177878, 0.10000045620747164, 0.006485167896779835, 0.13091817179545184, 0.07642008251270016, 0.07029615076309155, 0.056521744066993986, -0.06985720436373412, 0.015054941600938256, -0.05319260815000191, -0.05606562582128209, 0.0865885801420903, 0.02852956675507798, -0.0961677350520559, -0.09162512070611219, -0.13849832751604876, -0.021550894334327796, -0.024383356243861697, 0.12533291953671014, 0.09016016887721584, 0.03727299041457999, 0.09713650899269326, -0.038284116223831835, -0.04230313256471555, -0.05641176730254734]","[-0.2912638959964923, 0.08551140317803896, -0.023744488877407207, -0.027405361104174637, 0.08812397734888104, 0.028550481783422607, -0.0208465565555233, -0.04905994023990491, 0.09619867472964143, -0.012611641616451312, -0.02075628217125724, 0.019425289014510315, 0.025030226357070116, -0.10049446953094694, -0.14560947270240118, -0.012061021074605969, 0.06846359408761064, 0.010382958990164235, 0.1193170628803728, -0.056719609684736404, 0.09174752711619841, 0.010558323752682005, -0.04254547896772742, 0.0035526357765097286, -0.031197265959096377, 0.11311515733243967, 0.03903716659549957, -0.12337086715255614, 0.02899668899334584, 0.0391014520735224, 0.05376704010814693, 0.0368066915152246]"
